2,1,3.0,3.74,17.41
2,1,4.0,3.74,19.41
2,1,5.0,4.05,0.56
2,1,6.0,6.05,0.56
2,1,7.0,5.05,0.56
2,1,8.0,5.05,-0.44
2,1,9.0,5.05,1.56
2,1,10.0,-0.48,26.31
2,1,11.0,1.52,26.31
2,1,12.0,0.52,26.31
2,1,13.0,0.52,25.31
2,1,14.0,0.52,27.31
2,2,0.0,2.01,26.51
2,2,1.0,4.01,26.51
2,2,2.0,3.01,26.51
2,2,3.0,3.01,25.51
2,2,4.0,3.01,27.51
2,2,5.0,3.86,1.04
2,2,6.0,5.86,1.04
2,2,7.0,4.86,1.04
2,2,8.0,4.86,0.04
2,2,9.0,4.86,2.04
2,2,10.0,0.44,26.40
2,2,11.0,2.44,26.40
2,2,12.0,1.44,26.40
2,2,13.0,1.44,25.4
2,2,14.0,1.44,27.4
3,0,0.0,4.08,0.34
3,0,1.0,6.08,0.34
3,0,2.0,5.08,0.34
3,0,3.0,5.08,-0.66
3,0,4.0,5.08,1.34
3,0,5.0,4.01,-0.18
3,0,6.0,6.01,-0.18
3,0,7.0,5.01,-0.18
3,0,8.0,5.01,-1.18
3,0,9.0,5.01,0.82
3,0,10.0,-0.69,26.21
3,0,11.0,1.31,26.21
3,0,12.0,0.31,26.21
3,0,13.0,0.31,25.21
3,0,14.0,0.31,27.21
3,1,0.0,2.69,17.22
3,1,1.0,4.69,17.22
3,1,2.0,3.69,17.22
3,1,3.0,3.69,16.22
3,1,4.0,3.69,18.22
3,1,5.0,4.11,0.68
3,1,6.0,6.11,0.68
3,1,7.0,5.11,0.68
3,1,8.0,5.11,-0.32
3,1,9.0,5.11,1.68
3,1,10.0,-0.67,26.03
3,1,11.0,1.33,26.03
3,1,12.0,0.33,26.03
3,1,13.0,0.33,25.03
3,1,14.0,0.33,27.03
3,2,0.0,1.63,26.13
3,2,1.0,3.63,26.13
3,2,2.0,2.63,26.13
3,2,3.0,2.63,25.13
3,2,4.0,2.63,27.13
3,2,5.0,3.8,1.01
3,2,6.0,5.8,1.01
3,2,7.0,4.80,1.01
3,2,8.0,4.80,0.01
3,2,9.0,4.80,2.01
3,2,10.0,0.22,25.54
3,2,11.0,2.22,25.54
3,2,12.0,1.22,25.54
3,2,13.0,1.22,24.54
3,2,14.0,1.22,26.54
4,0,0.0,3.83,0.61
4,0,1.0,5.83,0.61
4,0,2.0,4.83,0.61
4,0,3.0,4.83,-0.39
4,0,4.0,4.83,1.61
4,0,5.0,4.12,-0.42
