conID,tstID,poiID,x,y
47,0,2,0.3,26.41
47,1,0,3.9,16.85
47,1,1,4.95,0.44
47,1,2,0.42,26.18
47,2,0,3.17,26.02
47,2,1,4.83,0.99
47,2,2,1.36,26.03
48,0,0,5.91,3.91
48,0,1,4.99,2.86
48,0,2,3.98,28.39
48,1,0,0.92,21.01
48,1,1,4.51,3.29
48,1,2,2.0,28.15
48,2,0,-0.94,28.31
48,2,1,4.21,4.54
48,2,2,0.2,28.6
49,0,0,4.53,6.3
49,0,1,3.97,5.46
49,0,2,-2.13,27.66
49,1,0,6.76,19.25
49,1,1,3.37,5.0
49,1,2,1.32,25.74
49,2,0,7.74,23.02
49,2,1,4.29,6.3
49,2,2,6.5,23.36
50,0,0,4.99,0.82
50,0,1,5.03,-0.3
50,0,2,0.31,25.26
50,1,0,1.83,17.5
50,1,1,5.06,0.66
50,1,2,0.82,24.17
50,2,0,0.3,24.81
50,2,1,5.01,0.82
50,2,2,1.17,24.56
51,0,0,7.9,0.65
51,0,1,6.69,0.29
51,0,2,2.89,25.9
51,1,0,6.1,21.57
51,1,1,6.38,0.53
51,1,2,4.39,25.71
51,2,0,5.63,25.86
51,2,1,5.7,0.11
51,2,2,4.9,26.24
52,0,0,2.43,0.15
52,0,1,3.15,-0.85
52,0,2,4.52,26.17
52,1,0,5.92,23.45
52,1,1,3.23,-1.68
52,1,2,5.06,26.31
52,2,0,6.35,25.82
52,2,1,3.22,-1.01
52,2,2,5.41,26.43
53,0,0,4.97,0.58
53,0,1,5.09,-0.26
53,0,2,0.77,24.87
53,1,0,3.91,17.07
53,1,1,4.98,0.78
53,1,2,1.46,24.13
53,2,0,3.6,24.51
53,2,1,4.77,0.27
53,2,2,2.44,24.78
54,0,0,4.04,0.33
54,0,1,4.74,-0.16
54,0,2,4.49,24.4
54,1,0,5.92,19.26
54,1,1,4.76,-0.9
54,1,2,4.93,25.05
54,2,0,6.47,24.31
54,2,1,4.28,-1.28
54,2,2,5.53,24.76
55,0,0,-0.42,-0.87
55,0,1,0.68,-1.84
55,0,2,5.51,25.47
55,1,0,1.99,17.83
55,1,1,0.11,-1.85
55,1,2,4.73,25.11
55,2,0,2.67,24.32
55,2,1,1.72,-1.61
55,2,2,3.66,24.16
56,0,0,1.63,-1.26
56,0,1,2.97,-1.67
56,0,2,3.28,19.84
56,1,0,4.11,17.95
56,1,1,2.19,-1.09
56,1,2,5.02,17.17
56,2,0,6.78,5.43
56,2,1,2.35,-0.79
56,2,2,5.49,15.15
57,0,0,4.72,0.25
57,0,1,5.07,-0.23
57,0,2,0.36,24.82
57,1,0,3.46,15.68
57,1,1,4.93,0.87
57,1,2,0.9,25.19
57,2,0,2.64,24.23
57,2,1,4.61,0.5
57,2,2,1.77,24.5
58,0,0,1.42,-1.25
58,0,1,2.29,-1.27
58,0,2,4.09,24.26
58,1,0,5.56,20.52
58,1,1,2.17,-2.35
58,1,2,5.3,24.75
58,2,0,6.17,24.3
58,2,1,2.6,-2.55
58,2,2,5.37,24.69
59,0,0,0.71,-1.58
59,0,1,1.61,-1.84
59,0,2,4.9,25.15
59,1,0,6.85,23.57
59,1,1,2.82,-2.48
59,1,2,8.08,26.2
59,2,0,7.22,25.69
59,2,1,2.97,-2.58
59,2,2,8.46,26.08
