"8","6","3","5","10","10","3","12","4","2","5","12","5","12","10","11","26","12","10","0","22","4","34","6","29","4","20","13","35","9","26","10","32","4","20","24","5","33","4","22","38","4","16","32","10","11","28","4","15","24","8","6","34","4","27","40","38","4","34","38","34","5","34","36","36","6","22","31","27","10","17","12","28","12","21","34","34","7","14","31","30","14","5","24","20","34","26","5","34","26","9","32","9","8","32","14","28","12","32","33","26","28","10","20","26","30","30","10","18","33","12","14","7","24","34","38","40","36","9","28","34","38","32","32","34","9","15","12","8","33","29","9","4","18","30","33","38","37","42","28"
"22","21","24","24","18","20","23","18","26","23","24","17","26","17","17","20","39","20","18","22","0","24","24","20","35","24","14","18","30","18","40","20","36","25","14","40","25","38","24","11","37","24","14","31","20","30","38","24","16","40","20","28","32","24","32","22","37","24","31","29","31","24","31","19","17","25","12","32","12","20","18","18","33","20","36","32","34","21","16","32","14","14","20","12","36","37","12","26","32","10","24","32","20","18","16","14","37","18","36","34","12","34","18","35","11","38","32","20","36","17","18","18","22","38","32","30","27","33","19","38","32","32","34","32","30","20","16","16","28","32","14","28","24","13","33","31","30","27","28","24"
"9","7","5","6","12","12","6","11","4","4","4","12","4","12","12","12","29","8","13","4","24","0","32","6","29","4","20","11","34","10","28","11","30","4","20","24","4","33","4","20","39","4","18","31","9","12","29","4","16","22","7","8","32","4","27","39","36","4","35","39","36","5","34","38","38","4","22","32","30","10","18","12","29","10","21","32","34","10","16","31","28","18","7","26","20","34","26","6","32","26","9","32","10","10","33","16","27","12","31","35","26","27","11","20","29","31","30","10","18","33","14","12","6","27","34","40","38","35","9","30","34","36","32","33","32","6","15","15","10","31","31","10","6","19","30","34","39","38","40","26"
"38","34","36","36","36","36","34","36","36","34","34","34","35","34","36","35","36","34","39","34","24","32","0","34","30","33","34","34","23","36","34","37","30","34","33","30","34","25","36","24","32","34","32","19","34","36","33","34","35","30","37","37","24","34","25","18","15","34","24","25","22","34","22","24","21","34","28","24","26","36","32","34","27","34","36","20","22","36","36","22","22","32","36","26","34","26","22","36","23","25","38","22","36","35","20","34","32","34","30","24","24","25","36","35","24","32","24","36","39","20","35","33","35","30","21","24","20","24","36","33","22","20","24","22","22","34","35","36","36","20","24","37","35","30","24","20","24","22","16","17"
"6","3","6","6","6","7","6","8","6","6","6","7","6","8","7","8","30","7","10","6","20","6","34","0","32","6","17","8","38","6","30","7","33","6","16","28","6","38","6","20","42","7","14","35","6","16","30","8","13","28","6","11","36","5","30","38","40","6","36","40","38","4","38","34","35","6","20","34","26","6","18","9","32","7","24","34","38","6","12","34","28","15","3","23","24","36","25","8","36","24","10","36","6","8","30","12","30","8","34","38","24","30","6","24","25","34","34","6","22","30","10","11","6","29","37","40","39","38","6","33","38","38","34","35","35","6","13","10","12","36","28","12","6","16","32","36","39","38","39","26"
"33","32","28","30","34","34","28","37","30","28","29","36","27","38","35","38","10","34","32","29","35","29","30","32","0","28","41","34","14","34","10","38","8","28","38","14","28","22","28","38","11","26","40","14","34","30","8","27","37","14","30","26","16","28","15","26","20","28","16","18","20","32","10","32","26","28","41","17","36","36","26","38","10","38","15","21","18","34","38","12","36","32","30","28","15","16","40","31","16","36","36","12","36","32","28","40","6","38","4","20","40","12","36","18","39","8","13","36","16","35","41","41","30","14","18","24","24","14","35","11","18","22","20","16","16","32","34","40","26","18","33","26","30","40","14","17","23","22","33","26"
"6","8","2","2","10","8","2","10","4","2","1","10","2","10","11","10","29","8","14","4","24","4","33","6","28","0","18","10","35","8","28","10","28","2","19","24","1","36","4","20","38","2","18","32","8","13","28","2","15","24","8","10","33","4","28","40","36","2","36","40","36","5","33","38","38","2","23","33","30","9","19","13","28","10","22","34","36","7","16","30","30","18","8","27","22","32","27","4","34","25","12","32","8","12","33","16","24","10","28","36","27","29","8","20","30","29","30","9","18","33","14","14","6","27","35","40","38","32","7","32","36","38","32","34","33","8","16","16","10","33","32","10","2","19","30","34","40","38","39","25"
"13","18","20","18","14","10","18","12","20","19","18","12","20","10","13","12","39","13","16","20","14","20","34","17","41","18","0","13","41","12","40","11","40","18","6","36","18","42","18","13","48","20","8","41","12","25","37","19","7","38","17","22","38","22","36","34","42","18","42","40","40","18","40","30","30","18","11","43","18","12","26","10","40","12","33","40","42","14","11","40","18","17","18","24","33","36","18","16","42","10","18","41","13","18","26","12","36","10","40","40","15","42","12","30","18","36","35","12","28","25","13","12","15","37","42","40","36","38","12","42","38","40","40","41","38","16","13","10","21","40","20","22","17","10","40","39","38","37","31","29"
"8","9","12","10","5","4","11","4","12","12","9","6","12","5","7","5","38","2","12","13","18","11","34","8","34","10","13","0","40","6","38","4","33","10","12","26","10","42","12","12","43","12","11","36","4","22","34","12","12","30","8","19","38","13","34","34","40","12","40","40","39","11","39","30","32","10","16","37","22","5","20","9","34","4","32","35","38","7","12","38","23","16","12","24","30","36","24","11","38","17","12","37","4","12","28","10","30","5","35","42","20","33","4","28","22","35","38","5","26","26","10","8","10","34","39","39","34","36","4","40","38","38","38","38","35","6","12","10","18","35","25","19","10","13","38","36","38","36","32","24"
"39","38","36","38","42","42","37","42","38","36","36","42","34","44","42","44","18","40","37","35","30","34","23","38","14","35","41","40","0","40","16","42","12","36","41","20","36","10","36","38","14","34","40","4","40","31","16","34","44","19","38","32","5","34","10","15","14","34","6","9","9","36","4","23","19","36","36","6","30","42","28","42","10","43","20","10","6","40","40","5","27","34","37","24","20","14","29","38","4","33","38","6","42","34","22","42","16","44","12","8","32","9","42","20","32","15","10","42","28","23","42","44","36","16","6","12","14","9","40","13","8","10","8","6","6","38","36","44","31","8","28","32","37","37","6","8","10","12","28","28"
